err [%],used f1,used f2,used f3,used f4,used f5,Mech params
5.72565905090216,f02,f12,f21,f23,f32,positive MP
5.7428851840774,f11,f20,f21,f22,f33,positive MP
5.74561060169141,f20,f22,f30,f31,f24,positive MP
5.7480480704607,f02,f21,f30,f31,f32,positive MP
5.75383873381758,f02,f12,f23,f30,f33,positive MP
5.75457344345152,f11,f20,f12,f21,f23,positive MP
5.75633306983887,f02,f12,f23,f31,f33,positive MP
5.77258366150664,f11,f20,f12,f21,f24,positive MP
5.78981843098639,f20,f12,f23,f30,f32,positive MP
5.79220545672669,f20,f22,f31,f32,f24,positive MP
5.79315102015086,f11,f20,f12,f22,f24,positive MP
5.7939916860269,f02,f22,f30,f32,f24,positive MP
5.79656807476453,f02,f12,f21,f24,f33,positive MP
5.80048447460539,f11,f22,f31,f32,f24,positive MP
5.80640290628104,f20,f12,f23,f31,f32,positive MP
5.80668617634171,f12,f22,f30,f24,f33,positive MP
5.8069326071018,f20,f21,f22,f31,f24,positive MP
5.81481541599733,f11,f20,f21,f31,f24,positive MP
5.8238987411761,f11,f20,f12,f24,f33,positive MP
5.82432841111516,f20,f12,f22,f30,f24,positive MP
5.83762687657366,f02,f21,f22,f30,f24,positive MP
5.83879249125692,f20,f12,f23,f31,f24,positive MP
5.84391365414082,f11,f31,f32,f24,f33,positive MP
5.84568648160459,f20,f12,f23,f30,f24,positive MP
5.85663595892962,f02,f20,f22,f30,f24,positive MP
5.85709774857567,f11,f02,f22,f23,f30,positive MP
5.85777080634362,f02,f20,f22,f31,f24,positive MP
5.86473419578008,f20,f22,f31,f24,f33,positive MP
5.86845048897363,f20,f12,f22,f32,f33,positive MP
5.87676027293313,f02,f20,f30,f31,f32,positive MP
5.89031318809961,f11,f30,f31,f32,f24,positive MP
5.91642049839817,f02,f20,f21,f22,f24,positive MP
5.92009519433016,f11,f20,f30,f31,f24,positive MP
5.92465965571292,f11,f20,f12,f23,f32,positive MP
5.93334168953446,f11,f20,f31,f24,f33,positive MP
5.93619254695282,f11,f12,f31,f24,f33,positive MP
5.93755817990594,f11,f12,f30,f24,f33,positive MP
5.94757497530986,f02,f20,f22,f32,f24,positive MP
5.94862913757606,f02,f20,f22,f23,f33,positive MP
5.95304798705866,f11,f20,f22,f31,f24,positive MP
5.95375621751758,f20,f12,f23,f30,f31,positive MP
5.96150931935223,f02,f22,f31,f32,f24,positive MP
5.96456254762258,f20,f22,f30,f32,f24,positive MP
5.97074395775963,f02,f21,f22,f23,f30,positive MP
5.97952894240285,f02,f22,f30,f31,f24,positive MP
5.98878468247893,f12,f30,f31,f24,f33,positive MP
5.99466760961619,f20,f30,f31,f24,f33,positive MP
6.01302056604228,f20,f21,f31,f24,f33,positive MP
6.02280536998518,f20,f12,f21,f23,f24,positive MP
6.02425421724644,f02,f20,f12,f23,f32,positive MP
6.02448938602339,f11,f12,f21,f24,f33,positive MP
6.02886778288351,f20,f22,f23,f30,f31,positive MP
6.03625481935384,f20,f22,f23,f31,f33,positive MP
6.04358054898636,f02,f12,f21,f23,f33,positive MP
6.04642372790859,f21,f22,f31,f32,f24,positive MP
6.05188114793121,f11,f20,f30,f32,f24,positive MP
6.05820808772846,f20,f22,f23,f31,f32,positive MP
6.05941097908975,f12,f21,f22,f23,f32,positive MP
6.05991098598716,f02,f12,f23,f24,f33,positive MP
6.06030065191354,f11,f21,f30,f32,f24,positive MP
6.06190561818039,f11,f20,f22,f32,f33,positive MP
6.06973098660814,f20,f21,f22,f30,f24,positive MP
6.07048428546432,f11,f12,f22,f30,f24,positive MP
6.07101786646222,f02,f12,f22,f23,f30,positive MP
6.07211530404988,f12,f22,f23,f30,f31,positive MP
6.07263708215177,f11,f20,f23,f30,f31,positive MP
6.07457697085542,f20,f12,f23,f32,f24,positive MP
6.08074775292298,f11,f02,f22,f23,f32,positive MP
6.09836358882146,f20,f12,f22,f23,f24,positive MP
6.10113854820338,f11,f12,f21,f22,f24,positive MP
6.10142184989006,f20,f12,f23,f24,f33,positive MP
6.10523355214052,f20,f21,f22,f23,f31,positive MP
6.10768551243384,f12,f23,f31,f32,f24,positive MP
6.11021259456526,f02,f22,f23,f31,f32,positive MP
6.12417191115917,f22,f30,f31,f32,f24,positive MP
6.13477132005698,f11,f20,f21,f30,f24,positive MP
6.13935076609161,f02,f22,f23,f30,f32,positive MP
6.149825695054,f20,f31,f32,f24,f33,positive MP
6.1516736724094,f02,f20,f21,f22,f23,positive MP
6.15422216956276,f12,f23,f30,f32,f24,positive MP
6.15443568591957,f02,f22,f23,f31,f33,positive MP
6.15455935760248,f02,f12,f22,f24,f33,positive MP
6.15582401507502,f02,f20,f12,f23,f31,positive MP
6.16698282933715,f20,f22,f30,f24,f33,positive MP
6.18690910170631,f02,f20,f12,f23,f30,positive MP
6.19648590694857,f22,f31,f32,f24,f33,positive MP
6.2078136679287,f20,f12,f30,f24,f33,positive MP
6.20915708449423,f02,f20,f22,f23,f31,positive MP
6.21073326166637,f21,f22,f30,f32,f24,positive MP
6.21165157846321,f02,f12,f23,f31,f32,positive MP
6.21703257192951,f11,f22,f30,f32,f24,positive MP
6.22048111618697,f12,f22,f30,f31,f24,positive MP
6.22254828049408,f02,f12,f23,f30,f32,positive MP
6.22506499802576,f20,f21,f30,f24,f33,positive MP
