f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f03,f03 peak N,f21,f21 peak N,f13,f13 peak N,f22,f22 peak N,f1t,f1t peak N
585.561456596937,1,817.328973119539,2,1204.1463401171,3,1374.88061403883,4,1597.9246394973,6,1555.6752763997,5,1981.74555518505,7,2031.42012487977,8,NaN,NaN
640.950629961174,2,595.577898200832,1,1202.5814929073,3,1520.67796095962,5,1324.86555087352,4,1719.68053973876,6,1854.50339045405,7,NaN,NaN,1923.53241716491,8
638.421383660301,1,837.311384639554,2,1309.72210225277,3,1660.12832371781,4,1686.89643178459,5,1857.21448420741,6,2210.68248873439,7,2331.85588315979,8,NaN,NaN
686.743358734619,1,778.743158923841,2,1316.86605957349,3,1515.95246354608,4,1614.2757534496,5,1744.40021725535,6,2137.17707033849,7,2257.77480471565,8,NaN,NaN
688.991970822858,1,748.560862476566,2,1314.77998820602,3,1609.40080592767,5,1565.76184211131,4,1817.70066880174,6,2074.51052667094,7,2297.21096378078,8,NaN,NaN
657.609564546807,1,751.20525182616,2,1287.41735277819,3,1308.49379160197,4,1614.57302686262,6,1556.30501518571,5,2106.98784215825,7,2202.61611629642,8,NaN,NaN
709.49313807172,1,893.635384702068,2,1421.55541141802,3,1689.28312359846,4,1808.46917635455,5,1924.71965644286,6,2393.63905195791,7,2467.05727758649,8,NaN,NaN
579.155093760993,1,680.783147481761,2,1134.01383589352,3,1381.87679509217,4,1410.8648953077,5,1565.13004705881,6,1888.42583287723,7,1987.91128580287,8,NaN,NaN
686.340321170315,1,698.162871585877,2,1312.96256290544,3,1686.1840256608,5,1503.18716163385,4,1890.77257812045,6,2039.78506293703,7,NaN,NaN,2223.01903296602,8
681.551006117686,1,784.880876710675,2,1294.87310743808,3,1334.43931639565,4,1646.31959741887,6,1576.43118099071,5,2224.27488424528,8,2136.60461490957,7,NaN,NaN
731.472298633241,1,808.280923610481,2,1387.05355125654,3,1422.04251227771,4,1736.65071956445,6,1688.45729298104,5,2307.18428198974,7,2351.60185008877,8,NaN,NaN
633.806619177023,1,799.49673170437,2,1258.76716435133,3,1592.70906971823,5,1584.38649460738,4,1769.4152286611,6,2003.84784431941,7,2207.77249918737,8,NaN,NaN
559.511533328968,1,866.379390327078,2,1253.51058403365,3,1536.91696963899,4,1735.56664998731,6,1673.73703369336,5,NaN,NaN,2164.06986551916,7,2220.74012783614,8
656.50122008128,1,865.476140617597,2,1329.96264673468,3,1479.83235775302,4,1754.85978619769,6,1682.13099085532,5,2328.10744513319,8,2215.45962959903,7,NaN,NaN
810.484643974645,1,930.872664251698,2,1529.12298125504,3,1580.68009073965,4,1923.51792632757,6,1853.49959105512,5,2475.06950065856,7,2524.27355946069,8,NaN,NaN
798.683146639324,2,741.502934257211,1,1428.30951340157,4,1409.78433486354,3,1613.27506705859,5,1740.79046546564,6,2214.49900540795,7,2368.31119841967,8,NaN,NaN
620.773799278934,1,700.81097004324,2,1224.19538891424,3,1561.12970009969,5,1507.91810546947,4,1759.24502452743,6,2087.85947999682,8,NaN,NaN,2057.35020587296,7
637.317670469555,1,786.852122379272,2,1247.54944331241,3,1370.25273502447,4,1616.23927859996,6,1557.90668316207,5,2055.12034604343,7,2097.66837366336,8,NaN,NaN
695.481004818119,1,808.490918421303,2,1362.66473219093,3,1675.27762833572,4,1692.75388594854,5,1895.20030762128,6,2276.50578414021,7,2404.85973614783,8,NaN,NaN
713.815256148294,1,749.323585188577,2,1377.52999019676,3,1517.89202151838,4,1620.96300002074,5,1798.17571887304,6,2204.86741376893,7,NaN,NaN,2323.24960407865,8
727.40013402632,1,818.517556338929,2,1373.25565292578,3,1461.76073425146,4,1660.34783105319,5,1730.69482468244,6,2169.53013502928,7,2281.46851510726,8,NaN,NaN
562.428146859875,1,644.21331711776,2,1108.64444425356,3,1400.0855637694,5,1340.60447336828,4,1577.14694920645,6,1777.87116738307,7,NaN,NaN,1973.51912241455,8
649.293027817226,1,728.480545755034,2,1236.93252525701,3,1470.62098427538,4,1513.41957612505,5,1670.35933209912,6,2002.86241094407,7,2126.62653027757,8,NaN,NaN
687.149676168868,1,704.707672108001,2,1309.18959672818,3,1588.70342379257,5,1535.79167850497,4,1822.24878618406,6,2130.19266012228,7,NaN,NaN,2182.8489632392,8
714.038225623029,1,822.258117137723,2,1332.34345122287,3,1439.95517504867,4,1648.89386353367,5,1673.36328595977,6,2114.5366825586,7,2176.52821560483,8,NaN,NaN
681.667440573796,1,778.847050836898,2,1332.49153022549,3,1756.4215681134,5,1598.14271466543,4,1946.38304624835,6,2081.79547411793,7,2393.97650025359,8,NaN,NaN
622.137749571059,1,662.881303942385,2,1168.04515727071,3,1331.92027557591,4,1414.70898535065,5,1552.17709785647,6,1966.94676368483,7,2009.60273841691,8,NaN,NaN
694.768633433559,1,825.002031805644,2,1390.82361870985,3,1564.78751547026,4,1717.9401581523,5,1846.10209553097,6,2321.58785197303,7,2432.12058846198,8,NaN,NaN
720.17833998037,1,889.957613635508,2,1393.81055450647,4,1377.88609856085,3,1779.3342770147,6,1649.54033424152,5,NaN,NaN,2282.59844650422,8,2240.46887109613,7
750.541717918189,1,873.375892214879,2,1467.50307620509,3,1583.36367663821,4,1813.44009145135,5,1883.36594771445,6,2431.09501579714,7,2523.12753738244,8,NaN,NaN
681.383053911186,1,851.591757740471,2,1370.87719736888,3,1529.32562829999,4,1803.94684780251,6,1730.94803031412,5,NaN,NaN,2392.85302279226,8,2346.77578447763,7
587.536265057011,1,784.417831398821,2,1166.34029886652,3,1202.90764101093,4,1542.05459648839,6,1396.36846791013,5,NaN,NaN,1842.34865753894,7,NaN,NaN
579.022943545754,1,810.31550509414,2,1229.15551511137,3,1428.77139933765,4,1658.69618439929,6,1595.0057977417,5,2186.493359816,8,2114.89102736811,7,NaN,NaN
578.99887761295,1,799.7129259581,2,1199.62218409638,3,1508.20531658779,4,1578.38682786132,5,1670.57347004488,6,2037.26360251755,7,2084.56647553849,8,NaN,NaN
677.806709148613,1,717.383943034175,2,1288.4397258143,3,1436.16811681991,4,1543.84361510858,5,1696.66902248789,6,2137.37313092307,7,NaN,NaN,2200.05640173118,8
